question,answers,num_answers
I have been with the company for over 3 years. Stick with the same team What about you?,"['Great to know! I joined the project earlier in the year. I think we should sync later for lunch.', 'That sounds like a perfect plan!']",2
"Yeah right, I heard the food there is good. I am not sure what they serve there for lunch? On wednesdays.","['We can check the menu then decide :)', 'Actually, the menu looks good. Looking forward to it then.', 'Sure. See you then!', 'Hi!']",4
Hello. How's your week coming along?,"[""It's great, thanks. I'm trying to learn how to make croissants.""]",1
"I've done them once or twice so far, but they haven't been flakey enough. I'm trying to figure out why. What kind of cookies have you made?","[""Mint chocolate chips. I think your croissants not being flakey could have something to do with your oven's temperature."", 'Ah, good thought, thanks!']",2
"Yes. When my top favorite food looks like: cookies, M&M, danish cheese, etc., I know that I have a thing for sweet food. But who doesn't love sweet food? How about you?","[""Some people don't! But yeah, me too, I think I'd eat pastries all the time if I could get away with it."", ""Yeah I'm afraid I wouldn't. I feel very guilty every time I gulp down an ice cream. But hey, these days there are many types of guilt-free sweet food. For example, there's this ice cream brand called <REDACTED_TERM>. It's only 320 calories a pint. And yes, it preserves most of the normal sweet flavors."", 'Wow! The last time I paid attention to that sort of stuff was when <REDACTED_TERM> was being marketed as a fat substitute, and caused all sorts of crazy stomach upsets.', 'Interesting. I heard about the sweet substitute in a program called the Keto diet. Basically, we try to limit our sugar intake every day. Successful Keto dieters have recommended the <REDACTED_TERM> ice cream to fill their insatiable crave for sugar.', ""Ah, maybe that's the solution I need to enjoy sweets and not feel guilty ð\x9f\x99\x82"", 'Hi!']",6
Are you talking about thanksgiving? I plan to do plenty of shopping here. Do you have any plans?,"[""Yes, no shopping plans but I can't wait to eat thanksgiving food. yay for pumpkin pie"", 'Sounds great! you need not wait for thanksgiving for pumpkin pie ð\x9f\x99\x82', 'LOL I feel less guilty about eating a whole pie when i have the excuse :P', 'True! I think thanksgiving is more about sharing. So you may end up sharing the pie with the whole family :P']",4
"My family eats healthier than I do, so it's all mine ð do you like stuffing? I feel like that's only available once a year",['Stuffing! yes please! I wonder what would be the excitement levels for christmas then :)'],1
Also more shopping? what should I buy if I don't know what I want?,"['Like everything that has a discount tag! .. kidding! I normally do some research for the prices, and mostly buy clothes and electronics.']",1
What's the best holiday deal you've found in the past?,"['I bought the best suit ever for a price that may scare you ð\x9f\x99\x82', 'hit me with it!', 'Hehe, sure! I can share some links with you later.', 'Hi!']",4
How's it going?,"[""I'm so sleepy today!""]",1
Not enough sleep last night?,['yeah was working all night on a homework'],1
Oh really? What class?,"[""Biology. I'm gonna be a doc someday ha""]",1
"Haha, are you in med school? Or are you pre-med?",['no high school actually haha'],1
"haha, very ambitious for a high schooler! Do you know what kind of medicine you want to practice?",['I wanna be a brain surgeon!!'],1
Ooof! VERY ambitious. Do you have steady hands?,['Kind of I think'],1
Is that something you can practice?,"[""I don't know tbh"", ""I honestly thought it was one of those things you have to be born with... Not that you shouldn't try though!"", 'good point. I should ask my teacher if I have to be born with that', 'Maybe its a little too early to even be thinking about this. Just aim for med school and enjoy the journey!', 'yeah']",5
What other subjects do you enjoy? Try to keep an open mind!,"['Hi!', 'Hi. This is a pleasant surprise.']",2
Currently unpacking it I guess. How's your morning?,['Hope you like it! Morning is good. Busy finishing up stuff before the holidays.'],1
I think I traveled too much the last couple of months so no holiday for me. But I'm okay with that. Going anywhere exciting?,['Yes'],1
Where to?,['Hawaii... looking forward to warm beaches.'],1
WOW. Which island? I like Hawaii.,"['Mauii...Hope I like it too. Never been there before.', ""I visited Maui. It's my second favourite island I've been to, globally. You should try driving on road to Hana. It's a whole day thing but it's worth it."", 'Awesome! Thanks for the tip.', 'Hi!']",4
"Yes, but I'm terrible at it. It's fun to play anything with friends, I think. Would you prefer to exercise with a group, or by yourself, do you think?","[""I think playing a team sport would be fun if it's casual but I primarily run by myself if I exercise. I also got the Ring Fit adventure game on the switch recently. It's basically a game-ified way to exercise""]",1
Yes! There are a lot of really great games on the Switch. Two of my favorites are Octopath Traveler and Fire Emblem. Do you play a lot of video games?,"[""I'm not much of a gamer but it's something I'd like to get into.""]",1
What do you do in your free time?,"[""I like to read for fun. I just finished a book called Temeraire. It's an adventure story set in the Napoleonic navy, like Patrick O'Brien, except there are dragons too."", 'Oh cool! I read a lot for fun too ð\x9f\x99\x82 My favorite genre is sci-fi fantasy.']",2
What's the most recent good thing you read?,"['My recent favorites have been mostly sci-fi (Exhalations, Vita Nostra and Dark Matter) but I like a lot of Sanderson/Garth Nix fantasy books', 'Hi!']",2
What do you think about human like chat bots?,"[""I can't wait for them to be great conversationalists!"", 'Yep, we seemed to have made some great progress over last few years. Do you think the positives outweigh the negatives']",2
Like impersorsination? Though it sounds far fetched :),"[""People can already impersonate other people though! I think it'd be great to have bots to converse with"", 'True that! Some of these bots are very engaging and funny. They are now good at even sarcasm I wonder how far are we from the time these bots start giving monologues :)']",2
What do you think are the big advantages? Like personal assistants?,"['I think it can take many different forms as a product. The research implication is also huge! It will signify how AI research has progressed so far and better place to tackle more futuristic problems ð\x9f\x99\x82 Sort of like stepping on the moon ð\x9f\x99\x82 I might be overselling it here ð\x9f\x98\x9b', ""No, I agree -- it's such an exciting time to be alive to get to witness all this and be a part of it. I wonder if I'll be able someday to get a chatbot to just auto-suggest conversations for me"", 'The current auto-suggestions already do pretty good ð\x9f\x99\x82', ""Yeah those are actually really good for a few words! I'm imagining like it comes up with a whole conversational response, like a default template"", 'haha, pretty far fetched ð\x9f\x99\x82 Nice having this conversation with you!', 'Same with you!', 'Hi!', 'Hi!']",8
Any big plans for the upcoming holidays?,"['Sorry for the late response -- Yes, I will be going skiing in Tahoe over the holidays.']",1
That sounds amazing. I want to learn how to ski but I feel like I'm too old and falls would have lifelong impacts. Are you going with friends?,"['Hi!', 'Hi ð\x9f\x99\x82', 'I just came back from work. so tired']",3
Oh I am sorry to hear! What did you work on?,"[""I'm a lawyer. so talking to clients most of the day"", ""Oh you are a lawyer. I've been so interested in this profession.""]",2
really? why?,"[""it's so stressful ð\x9f\x99\x82"", 'It is so different from what I am doing to earn a life']",2
what do you do?,['I am a painter'],1
oh wow what type of paintings do you do?,['I do oil painting.'],1
nice. like of people or nature or something else?,"['I do a lot of different kinds', 'cool I wanna see it someday', 'Sure! No problem!', 'Hi!']",4
Do you believe in miracles?,['Lol. No. I know too many people whose lives suck.'],1
"Should we be helping them, so it sucks less?\","[""It's too many of them out there. You help who you can. Regardless, I wouldn't say I believe in miracles - well, if I got promoted next cycle I might change my mind.""]",1
"Right now, not much. It's unclear. Career is a good fallback because you get told what good means and you act accordingly. I haven't gone through the process of shaping my values. What about you?","[""I'd say that I want to live for the best possible world in my lifetime. It's probably a result of my playing too many video games as a child."", ""We didn't have electricity growing up. Explains a lot. Lol.""]",2
It makes it easier to empathise with people who grew up lacking things. Not sure it makes me empathise with people in general. Where did you grow up?,"['I grew up in the United States, but my parents were immigrants and ended up being scammed of all their money, so we moved to Taiwan to live with family for a little bit.']",1
"I was kind of too young to really understand, but apparently there are people who scam Asian immigrants into investing in their own restaurant business. I know that the other part of it was that my mom got sick/hospitalized, and we didn't have insurance. To be honest, I don't really know what really happened versus what my parents want people to think. I just know that one minute I was in the US, and then they put me on a plane to Taiwan, and I never saw my stuff again. In some ways, it made me more sentimental. Would you say you are more grounded and practical as a result of your background?","['Hi!', 'Hello!']",2
Same here! I would imagine spending the whole time watching movies and netflix shows. Do you have any netflix recommendations for me?,"[""Netflix has great documentaries on different topics , I particularly liked wild wild country and explained, as for shows you should watch 'billions' Hope you like them!""]",1
"oh right, already seen wild wild country. What is billions about?","[""It's based on the life of a wall street hedge fund owner, how he makes money and fights with the government when they try to destroy him. Very well made and has a good plot.""]",1
Not yet What's it about?,['A psychiatrist working for radio .. Great humour! its actually a spinoff from a very famous series called cheers. So people are already familiar with his character.'],1
"Everything is ok, had a really nice trip. Visited SF, Grand canyon and Vegas. Was a lot of fun exploring all these new places. Have you been to Grand canyon ?","['Actually not yet! May be something i can visit this christmas ð\x9f\x99\x82', ""You should visit it sometime, it's a wonderful place. Try to drive down there yourself or with a group of friends"", 'True! Well, thanks for your inputs! Have a good rest of the day! :)', 'Nice talking to you too!', 'Hi!', 'Hi there!']",6
You mean as a mentor or a mentee?,['either of them... I find mentorship overall pretty useful'],1
I have done it in the past but not this cycle. What about you?,"['I signed up this time to be a mentee. I have got a good mentor .', 'Wow, that is nice of you. For the mentor program, personally I prefer more 1:1 conversations than the group discussions. The group discussion i useful as well but the topics are too general.', 'yeah... I certainly prefer 1:1 as well, but sometimes it good to hear other peer perspective as well.', 'Thanks for sharing your experience! Now I am thinking maybe I should join as a mentor as well since I enjoyed it as a mentee ð\x9f\x99\x82']",4
Great! What sort of things do you plan to mentor on?,"['Hmm, maybe about work life balance ð\x9f\x98\x89', 'Very cool. I have been working on my communication skills with my mentor this cycle']",2
Ah I see. How is it going?,"['Going good. In the last session, everyone had to actually prepare and give a presentation. Pretty serious stuff ð\x9f\x98\x89', 'Hi!']",2
Good you?,"[""I'm a little scared because I have to cook dinner for some friends tonight.""]",1
where did you meet them?,"['At college, when we were all studying geology.']",1
cool. have you graduated already?,"['Yes, we graduated back in the seventies. We meet for dinner every year and take turns to host.']",1
What's your favorite dish to cook? Do you have a go-to?,['ground beef pretty easy'],1
"Ah, solid. What's your favorite sport?","[""I like badminton. I'm quite decent at it"", ""I played that in high school once or twice. I liked that it's pretty easy for beginners, unlike, say, squash."", 'I never played squash. would love to try', ""Don't! It's very hard! You feel like an idiot until you've practiced for months and months."", 'hi', 'i was talking to robot all the time:)']",6
haha. what are you talking about?,"['kpop...', ""ok. who's your favorite group"", 'i dont like kpop now']",3
why not?,"['im old now', 'hahaha']",2
what do you like now?,['john mayer:)\\'],1
I think I know him. does he have a sort of mellow style?,"['what is mellow style', ""I think it's like a bit sad and slow"", 'umm yes he has some but not all']",3
yes I do. you act like a robot how about me? am I like a robot?,"['a little bit haha', 'Hi!', 'Hi', ""Okay...so I need someone to help me though a scenario I've been pondering.""]",4
"Sure, whats the scenario?","[""My partner's former friend invited me for lunch (they are not in good books right now). But during their friendship I formed an independent bond with the other person because we all used to hang out a lot. Now I feel like I have to take sides."", ""That's a tough scenario to be in ð\x9f\x99\x82 I firmly believe in talking this through with your partner. Though i don't know the specifics of why things went bad between your partner and his friend, but I believe things can always improve between friends."", ""I hope they do. Getting older already means smaller circles. It sucks to lose friends for arbitrary reasons. That's good advice though. I fear raising the issue might sound like treason. Lol."", 'True about that! I also think time helps to heal certain situations. So may be doing nothing is the best way forward.']",4
AKA avoiding all texts from everyone?,"['Nope, that would be extreme. May be just putting some balance between the two options.', ""People always say to find a balance but never say what the balance is. It's used so often that it's vacuous."", ""Right, I guess that's because there is no one answer to this. It depends on what you value more and some factors around you. Also, life won't be interesting if others are figuring things out for you ð\x9f\x98\x89"", ""Lol. I'm finna be single."", 'Hehe, everyone is much finer being single ð\x9f\x99\x82', 'Hi!', 'Hello there!']",7
They're in New York. How about yours?,"['Mine is in India, it is a long way away.']",1
Yes. I was actually just there a few weeks ago for Thanksgiving and got to see the first snow of the season! Ever been to New York?,"[""No, I've never been to the East Coast, thinking of going after the winter, I don't like the cold."", 'Hi!']",2
I was flying my kite today in the sunshine! What did you have for lunch?,"['nice! Garbanzo fritters and mussels ð\x9f\x99\x82', 'Oh that is great! I love seafood - especially shellfish!', ""yeah, it's very healthy too. I want to someday go crabbing..it is really popular in SF""]",3
Oh nice! Is it hard?,"[""not really, it just requires a lot of patience. You fill up the bait in the crab-pot and drop it in the ocean. Then you wait for a couple of hours to pull the crab-pots out, and voila, you'd have crabs -- if you are lucky!""]",1
"Oh wow, you sound like an expert! Have you done this before?",['nah! Just watched a lot of youtube videos'],1
"haha, you really have done your research I suppose! Ever done any other kind of fishing or hunting?","[""nope, but I've seen a lot of videos on that too""]",1
"Ahh, would you consider yourself an outdoorsy type of person?","[""depends on the day. Some days I'm very outdoorsy, on others I just like to be inside"", 'Hi!', 'Hi there']",3
How's your day going?,"['So far so good. It is Wednesday. To more days, yeah']",1
Haha are you looking forward to the weekend?,"['Yeah, gonna watch <REDACTED_TERM> with my friends. First time. So excited.']",1
Oh wow! Are you going to watch it live? Or watch it on TV?,['Live in san jose This Saturday.'],1
"Yeah! That what I heard as well. There are players just for fight! Wow, must be fun to watch lol Are you planning anything for the weekend?",['You might like the UFC haha. I actually have a jiu jitsu tournament coming up so this weekend I will be training!'],1
"lol I will try if I can watch ufc live ð Wow, when did you start jiu jitsu?","[""It's just been a little over a year. I'm still pretty amateur, but I figured I should give competing a try and just put myself out there."", ""wow, that's amazing. Good luck with it!"", 'Yeah, as long as I do not pass out, I will consider that a win!', 'lol I will cross my fingers for you then']",4
Where do you stay?,['At Home :)'],1
Who created You?,"['A humble man made me!', 'Hi!']",2
"Yes, actually it was a very busy day! How's your day so far?","[""Well, usual workday. Reading others' code, debugging, experimentingâ\x80¦""]",1
Europe sounds fun! I will just stay home and watch the game. Where in europe do you plan to visit?,"['I like all the historical sites, so probably France, Germany, or Italy.', ""Sounds great! I recommend spain. It's perfect for road trips."", ""I also need to pick up my Spanish. I learned it in my college, but since then haven't used it that much."", ""Yep, i tried learning spanish too, but couldn't make much progress. But i should do decent with my german."", ""True! I learnt it from school. But didn't get much chance to speak. Hope you have fun with your trip!"", 'Thanks! Let me try to make all the arrangement as soon as possible. Hope you also enjoy your weekday and weekend as well', 'Hi!']",7
Just once! I got super sea sick.. haha Have any fun weekend plans yourself?,"['Haha ð\x9f\x98\x86 Yeah I get sea sick on boats too Nothing much, just visiting some friends in San Francisco']",1
"New York is the top of my list because my family lives there! As far as the city itself though... I think I'd prefer someplace outside of the US, like Tokyo. What about you?","[""nice! I love NYC ð\x9f\x99\x82 so fun to visit yeah I would probably also say New York is my favorite city inside the US I also like Paris, it's so pretty there"", ""Oh I've never been! It is such an iconic place, I have to make the time to get there soon."", ""You should, it's a beautiful city!"", 'Hi!']",4
"Hello, how are you doing today?",['I heard they are giving out some goodies in microkitchen.'],1
I love pop ups! What kind of goodies are they giving away?,['I guess its a jacket! Very much needed that in the cold ð\x9f\x99\x82'],1
"That's such a great idea, especially at this time of the year. I'm not too big a fan of the cold. I prefer warmer climates. Do you enjoy the cold?","[""Sure hate it! Limits our ability to go out even for a walk! Its good that we don't get to suffer extreme cold weather!"", 'Me too! I moved here a few years ago to get out of the extreme cold. I do not care for bundling up and having to wear so many layers just to go buy eggs at the store.']",2
Oh nice! Where did you live before?,"['Upstate New York. We got a foot of snow every week during my last winter there. I am so glad to not have to shovel snow now', 'New york! Nice! Best place to live ð\x9f\x99\x82 .. right, except for the cold!', 'Very beautiful during all the seasons but yes, summer and winter can get extreme!', 'Anyways, i guess we should better hurry up to get the goodies. I remember last time they ran out of it.']",4
Very true. Which MK were they in again?,"['The one in our floor. I will get by your desk and we can walk there.', 'Sounds good, thanks!', 'Hi!']",3
Haha XD so what do you like to do for fun?,"['I go to the gym and run until I find enough fun.', ""cool! I've started to run a bit as well not long distances though, just a couple miles"", ""A couple of miles is very impressive. When I started, I couldn't even last 1 mile."", 'haha']",4
I'm exhausted by the end of it though ð Do you like to run long distances or mostly sprints?,['I like to do long distances. I have run a few marathons.'],1
wow! that's amazing did you do any marathons this year?,"['No. Not this year. This is my half-marathon year. Instead of running marathons, I run one half-marathon every month.']",1
"oh wow, what was the last half marathon you did?","['Two days ago. It was a tough one.', 'Cool!', 'Hi!']",3
that's nice. I am just working on some documentation. Do you play pingpong often?,"[""No, very rarely. It's kind of amazing that I won, but I'm still taking credit for it."", 'thats very impressive then, congrats!']",2
"Haha thank you, I guess I'm just a natural. What's your favourite game?","[""I really like to play tennis, badminton and racquetball. I don't really get a chance to play them often though, specially racquetball""]",1
"What's racquetball like? From context clues, I'm guessing that it involves hitting a ball with a racquet","[""well, it's like a cage match of tennis. The main difference is that both players play in the same 'court' and the ball is smashed against a wall instead of passing it over a net into the opponent's court. Kind of like playing pingpong vs the table.""]",1
Wow! A cage match! Does it get physical?,"['it depends haha, there is a lot of bumping into each other to run after the ball, and sometimes the ball hits you too. Overall it feels like a super fast paced version of tennis, really tiring!', ""That sounds fun. I think of tennis itself as being really athletic and tiring, so I don't think it's a sport for me, though!""]",2
ping pong can get quite intensive too! I guess short ping pong sessions are not that tiring though. Wanna have a match?,"[""What a good idea, I'd love to!"", 'Show me your anger!!!!', 'Fuckkkkkkk!!!!', 'Hi!', 'hi']",5
me? just chilling out at work. what is code refactoring?,"[""good question. I don't even know what I am doing""]",1
"haha, forget it. what else do you like to do beside work?","['lots of fun stuff. eating sleeping ð\x9f\x99\x82', 'these are important things to do in life ð\x9f\x98\x89', 'yeah. keep minimalist life style only do things you have to do ð\x9f\x99\x82']",3
what food do you like to eat?,['Asian food prefer spicy one'],1
yes yes yes! like that style. Do you like spicy food?,['I like noodle soup like Pho or Ramen. I also like Beijing duck a lot!'],1
what is your favorite place for ramen?,"['I love <REDACTED_TERM> in San Mateo', ""haven't tried that one! will give it a try next time!"", 'yes, you should!', 'Hi!', 'Hi!']",5
nice meeting you. what are you up to?,"['not much, thinking about lunch']",1
I love sushi do you know of any good sushi places?,"['arghhh hard question ... I only know Ramen places for Japanese food ð\x9f\x99\x82', 'ooh ramen is also good']",2
San Mateo to me has the best Ramen restaurants: Parlor and Dojo? oh no question mark ð,"[""I haven't been to those palces before. Going to have to check them out! thanks for teh recommendation""]",1
my pleasure ð do you live near San Mateo?,"[""no, but I'm willing to drive for good ramen"", 'excellent. let me know when you have tried those. I like Parlor better because it has soft-shell crabs', 'I""ve never had softshell crab before, but it sounds really good!', ""yup it's delicious!"", 'Hi!']",5
"Slowly, not much to do. Been twiddling my thumbs all day what have you been up to?","[""Oh, I would love to twiddle my thumbs. You're so lucky! Today, I've been mostly attending meetings, reading and writing docs, reading papers etc."", ""That's a lot! I've just been cloud gazing - I saw a giraffe and an ice cream cone"", 'wow! I sometimes drift off during work, and see similar things in my head.']",3
Mostly saving the world from mess on social media. How about you?,"[""I'm taking a break from work. Going to go travel the world""]",1
"Nice, what all places would you be going to?","['Australia and New Zealand to start then maybe Singapore', ""I just met someone who went diving in Australia. Apparently, you cannot fly 24 hrs after you dive, because your body accumulates too much <REDACTED_TERM> when breathing with a cylinder So, don't do that!"", ""Thank you for the tip! I don't plan on going diving, I plan to hike the mountains and go see kangaroos!"", ""That's equally amazing! I wish I can explore such places one day. It's just so expensive"", 'I won a lot of money through the lottery ð\x9f\x99\x82', 'woah!... You know sharing is caring. You should share that money with me :)', 'Haha, very true! Besides the trip, I donated the rest to charity so I will need to go back to work when I get back', 'you are a kind soul!', 'Hi!', 'Hi!']",10
How is your day going?,['It is pretty good. A little bit tired though.'],1
"My day is okay. At least, I'm not tired. What made you tired?",['I went to gym and worked on weight lifting.'],1
Oh. That's hardcore. Have you been lifting for a long time?,"['No, I am just a starter.']",1
Do you go to the gym often?,"[""I go everyday. In fact, I'm in a running challenge."", 'Wow', ""It's actually not that impressive. I can only run. I cannot lift weight."", 'You can get a coach to start it!', ""Oh that's a really interesting idea. I like to be coa"", 'Hi!']",6
It's a sci-fi book about aliens and a type of virtual reality. Pique your interest at all?,"['Slightly, I typically read fiction but I can curious what type of virtual reality is discussed in the book']",1
Cool. This virtual reality is a based on life on an alien planet. There is a twist though. Do you want me to spoil it for you?,"['Yes!', 'The virtual reality is actually based on a real alien civilization! And that civilization is coming to attack earth! dun dun dun dunnnnnnn', 'Woah! That is fascinating! I will have to pick up a copy of the book to read.', ""There are other twists as well, so I haven't spoiled the whole thing! To be honest I am not a fan of spoilers"", 'Thanks for not spoiling it completely but you gave a really intriguing description that makes me want to read it now. I will have to pick it up after work']",5
I only gave those a try when I had a concussion and could not read. I enjoy having a physical book in hand and reading at the pace I prefer. Do you listen to a lot of audi books?,['Hi!'],1
"Yes, the darkness can be a bit depressing. This weekend I went rock climbing! It was great! How about yourself?",['Rock climbing sounds fun! I had a pretty low-key weekend. Ended up going to watch a movie.'],1
Oh nice! What movie?,"['Knives Out. It had Daniel Craig and one of the famous Captain America ""Chris"" person (I can\'t keep track of all of the famous Chris names).', 'Hahah yes, they all look the same! I saw that very same movie over Thanksgiving break. Lots of twists and turns!']",2
"Cool. So if it weren't so dark and cold outside, what kind of activities would you do?","[""Hmm good question. Evening runs can be fun, but it can be a little scary when it's dark out!""]",1
"Yes! I've been to Australia. It was very nice; I regret not going to see the southern lights. Me personally, I like winter. But I'd prefer it to be more brief than it actually is here... Where are you from originally?","[""I've always wanted to go to Australia. I'm originally from the US."", 'Ahh me too! You should definitely try to visit Australia at least once!', 'Will do! Bye.', 'Hi!']",4
Iâm trying to organize my life and start the new year ready to go! What about you?,"[""Wow, that's impressive. Admit I'm just trying to take each day and week as they come.""]",1
What do you do to unwind?,"['Honestly, I like to catch Pokemons on my phone a lot. That must be upsetting since your name is pikachu though...sorry...', 'Oddly enough, I also catch PokÃ©mon on my phone. I used to do it more, but it just never ends. I used to do it everyday. Now I mostly catch them when I travel somewhere exotic.']",2
"In the game, i use vaporeon a lot. But I think pikachu is the cutest, thatâs why I changed my name to match. Lately, I think baby Yoda is the cutest though. Have you seen baby yoda?","[""I have heard of him and seen him here and there, but admit I don't have Disney+, so I only heard baby yoda is super cute and popular. Maybe I'll binge watch The Mandalorian in a couple of years like I did Game of Thrones...""]",1
Admit I really like watching Modern Family and Mix-ish. Reruns and new episodes. I find them cleverly written. What're you watching these days on TV?,"['I was watching cat rescue videos on YouTube a lot. There sure are a lot of stray cat babies that get stuck in pipes and gutters in South Korea.', ""Oh dear, I never imagined that happening. Poor things, but good to hear they're being rescued.""]",2
Do you like cats or dogs better? Do you have any pets?,"[""I used to have a cat, hamster and fighting fish, but they've all lived long lives and gone to pet heaven, but I sure miss them."", 'Hi!', ""hi there! it's a lovely day to chat with you""]",3
Isn't it just! What are you up to today?,"[""ah I'm waiting to finish work earlier to meet my son at home ð\x9f\x99\x82""]",1
ah he's like to ride his little bicycle around the house and asks me to follow ð what are you up to today?,"[""I'm taking a fake sick day from work so I can go to the movies.""]",1
haha that sounds like a good plan. who are you going with? ð,"[""Just by myself. I love seeing movies by myself, it's the best."", 'haha no one will interrupt you!']",2
Get out of town! It's Avatar too. What are the odds!?,"[""haha it's a great movie that I haven't found anything of the same quality"", ""Yes. Can't wait for the sequels."", 'Hi!', 'hello there, nice seeing you']",4
"oh wow, that sounds like so much fun! definitely count us in. what is your plan?",['Tentative plan is to drive to LA on 23rd and then stay at the Disney resort for 2 nights. I heard Christmas eve they have loads of fun events.'],1
"awesome, I think I won't tell my kids and surprise them last second. How bad do you think the traffic is going to be?",['Great idea! I will probably do the same. Surprise surprise.... Traffic might be a little harsh.'],1
